"ID","weight","weight_2","Country_code","Country_name","Age_cat","Female","Income","Higher_edu","Home_ownership","Dwelling_house","Dwelling_size","Rural","Env_concern","Env_policy_public","Env_policy_costs","Env_policy_subsidy","Env_policy_tax","Env_policy_standards","Env_policy_liH","Adoption","Gov_support","EPS"
"946f23c0-7ae5-11ec-a9a7-fdab17bc8d85",1.02424289529486,0.965800752664451,2,"UK","35-44",0,"quintile 5",1,1,1,"More than 200 m²",0,1,1,0,1,0,0,1,0,0,3.45
"b833d0e0-4153-11ec-be0a-2b8c0ee1c582",0.947364580447141,0.883556577031156,2,"UK","35-44",1,"quintile 3",1,0,1,"76–100 m²",0,1,0,0,1,1,1,0,0,0,3.45
"1ee7b3d0-4154-11ec-bcfb-27d377a270da",1.04534052688498,0.964390302161763,2,"UK","45-54",1,"quintile 3",0,1,1,"151–200 m²",1,1,0,0,1,0,1,0,1,0,3.45
"96891d00-4152-11ec-983d-e1b8f315eaa7",0.947364580447141,1.30894528477506,2,"UK","35-44",1,"quintile 2",1,0,1,"Don't know",1,0,0,0,0,0,1,0,1,0,3.45
"73791070-415a-11ec-8de5-473eef2a385c",1.11070808835097,1.51891002523509,2,"UK","25-34",1,"quintile 2",1,1,0,"26–50 m²",0,1,0,0,1,1,1,1,1,0,3.45
"990f8480-4151-11ec-9c44-61f26b375036",0.88751912512082,0.904353689250025,3,"FR","35-44",1,"quintile 2",0,0,0,"Don't know",0,0,1,0,0,0,0,1,0,0,4.17
"adf5d810-84e0-11ec-9105-a7cc5c6c1fe4",1.01741544740035,1.02310028609966,2,"UK","35-44",1,"quintile 1",1,0,1,"Don't know",1,1,1,0,1,0,0,1,1,0,3.45
"f8170d60-4159-11ec-b40c-fdeb503a0ca7",1.13379344261391,1.05413927578669,3,"FR","25-34",0,"quintile 4",0,0,1,"51–75 m²",1,0,0,1,0,0,1,1,0,0,4.17
"1fbdf3b0-4152-11ec-aaae-d73c4a890789",1.01344342530236,0.947125856033316,3,"FR","25-34",1,"quintile 4",1,1,0,"51–75 m²",0,0,1,0,1,0,1,1,0,0,4.17
"ac8823a0-4157-11ec-ac32-8160c3d5653c",1.02424289529486,0.965800752664451,2,"UK","35-44",0,"quintile 5",1,1,1,"101–150 m²",0,0,1,0,1,0,0,1,1,0,3.45
"c50eeda0-4154-11ec-8422-f92735994e90",1.04363980200611,1.00613245340301,2,"UK","45-54",1,"quintile 1",0,1,1,"Don't know",0,1,0,0,1,0,0,1,1,0,3.45
"b0622550-4153-11ec-8bed-b78829b346f2",1.03685755985976,0.96027913730644,2,"UK","45-54",0,"quintile 5",1,1,1,"101–150 m²",0,0,0,0,1,1,1,1,1,0,3.45
"0a72e2c0-4153-11ec-8c63-ed542194ece7",1.01691224466732,0.955664718072585,3,"FR","45-54",1,"quintile 4",1,1,1,"101–150 m²",1,1,1,0,1,1,1,1,1,0,4.17
"1e18fa00-4154-11ec-ae7d-cd3ea174d23c",1.22473104062432,1.1087258300299,2,"UK","25-34",0,"quintile 4",0,0,0,"76–100 m²",0,0,0,1,0,0,0,1,1,0,3.45
"583bafc0-f3da-11ec-be40-7ff9c07263a1",0.925101291093153,0.831751662843242,2,"UK","35-44",1,"quintile 4",1,1,1,"Don't know",1,1,1,0,1,1,1,1,0,0,3.45
"b05fde20-4153-11ec-85a0-cd33a5773499",1.02994602452328,0.965702283730915,2,"UK","45-54",1,"quintile 3",0,1,1,"76–100 m²",1,1,0,0,1,1,1,1,1,1,3.45
"abc3eb60-4153-11ec-8417-39af8f628178",1.02994602452328,0.958144211068897,2,"UK","45-54",1,"quintile 4",0,1,1,"Don't know",0,1,1,0,1,1,1,1,1,0,3.45
"1b75ef70-dce1-11ec-9368-872991f5d29f",1.04363980200611,1.41500307882396,2,"UK","45-54",1,"quintile 2",0,0,1,"Don't know",1,1,0,0,0,0,1,1,1,0,3.45
"94888240-4151-11ec-9a00-4dbbfeae7dee",0.968424896006365,0.942145447890227,3,"FR","35-44",1,"quintile 1",0,1,1,"76–100 m²",0,0,1,0,1,0,0,1,0,0,4.17
"7085d330-4154-11ec-b611-b1125f6cc224",0.979683956100157,0.988273838075312,3,"FR","35-44",1,"quintile 2",1,1,1,"51–75 m²",0,1,0,0,0,0,0,1,0,0,4.17
"b19e9480-4153-11ec-92ad-8de7e66ee396",1.01344342530236,1.02603597643986,3,"FR","25-34",1,"quintile 2",1,0,0,"76–100 m²",1,1,1,0,1,0,1,1,0,0,4.17
"091d5ee0-4153-11ec-afee-77b77f9fecec",1.05908751607315,1.01528908696987,3,"FR","35-44",0,"quintile 1",0,1,0,"26–50 m²",0,1,1,1,1,0,1,1,1,0,4.17
"228476a0-4153-11ec-8d68-c119e2853a51",1.04363980200611,0.955147087778462,2,"UK","45-54",1,"quintile 3",0,1,1,"76–100 m²",1,1,0,0,1,1,1,1,0,0,3.45
"6aad70c0-4152-11ec-a7b7-6596b7abd6b9",1.06511708480208,0.958258252705348,2,"UK","45-54",0,"quintile 3",0,1,1,"Don't know",0,1,1,0,1,1,1,1,1,0,3.45
"c3723250-4154-11ec-ab92-c5d7c5e4b048",0.968280025958593,0.892348861562074,2,"UK","45-54",1,"quintile 4",1,1,1,"51–75 m²",0,0,1,0,0,0,0,1,0,0,3.45
"1e0c3a70-94e9-11ec-a9b4-4b470d510efe",0.956499692569294,0.897479877104624,2,"UK","35-44",1,"quintile 4",0,1,1,"Don't know",0,1,1,0,1,0,1,1,1,0,3.45
"9eb5d070-dec6-11ec-8d5d-e3041be515ca",1.01225399483124,0.984116626049284,3,"FR","45-54",1,"quintile 1",0,0,1,"101–150 m²",1,1,1,0,1,0,1,1,1,1,4.17
"0b00cc20-415a-11ec-a6fa-3d8809dc43df",1.19283704496048,1.12705175581658,2,"UK","25-34",1,"quintile 3",1,1,0,"76–100 m²",1,1,1,0,1,0,1,1,1,0,3.45
"1b744ea0-4151-11ec-a4f9-bfc268e0ce26",1.02402261891865,1.10130453578297,3,"FR","45-54",1,"quintile 3",0,1,1,"51–75 m²",0,0,1,0,1,0,1,1,1,1,4.17
"1af49260-4154-11ec-9f4d-a720f39f22da",0.975268621982366,0.900106044518688,2,"UK","45-54",1,"quintile 3",0,0,0,"Don't know",1,0,0,0,0,0,0,0,0,0,3.45
"e505b370-4156-11ec-8d6a-ef01268b5892",0.941186885645992,0.889838698530214,3,"FR","35-44",1,"quintile 4",0,1,0,"26–50 m²",0,1,1,0,1,0,1,1,0,0,4.17
"21a9acd0-4154-11ec-afb1-effca1c2f409",1.0574846511772,1.0086043668691,2,"UK","45-54",0,"quintile 1",0,1,1,"Don't know",0,0,0,0,0,0,0,1,0,0,3.45
"205a7a70-4151-11ec-916f-05911a1c212b",0.934179368284443,0.906893480135271,3,"FR","35-44",1,"quintile 1",0,0,0,"51–75 m²",0,1,1,0,1,1,1,1,0,0,4.17
"2b643f90-4153-11ec-be6f-0974cd41b2f6",1.03094262301205,1.01191772582128,2,"UK","35-44",1,"quintile 1",1,1,1,"Don't know",0,1,1,0,1,0,1,0,1,1,3.45
"1bb0ddb0-4159-11ec-8d7e-fddbc328c65b",1.02994602452328,1.43064007857135,2,"UK","45-54",1,"quintile 2",0,1,1,"Don't know",0,0,0,0,0,0,0,0,0,0,3.45
"rcEMehOh1HJHdeDrLxgDfd1Psq/lzupFwu7+gKpsJE4=",0.920744315217147,1.69906047836644,6,"CH","18-24",1,"quintile 2",0,0,0,"76–100 m²",0,1,1,1,1,1,1,1,0,0,3.97
"25d0b850-4154-11ec-ab95-8fa88ebf19f0",1.05215860789331,0.963768247955187,2,"UK","35-44",0,"quintile 3",1,0,0,"76–100 m²",1,0,0,0,1,0,1,1,1,0,3.45
"721c60d0-4154-11ec-a961-13b139752216",0.88751912512082,0.834801880007981,3,"FR","35-44",1,"quintile 4",0,0,0,"101–150 m²",1,1,0,0,1,1,1,1,1,0,4.17
"f39f0f70-415a-11ec-90ec-cb9fe54a7504",0.965727688639284,0.910827634512039,2,"UK","35-44",1,"quintile 4",1,0,1,"26–50 m²",0,0,0,0,1,0,1,0,1,0,3.45
"c7bb3e60-d17d-11ec-a10b-27d9df70d41b",1.07960723338518,1.03611680201561,3,"FR","35-44",0,"quintile 1",0,0,0,"51–75 m²",1,1,0,0,1,0,1,1,0,0,4.17
"3e0ed160-f3ca-11ec-aa13-e7ce8b3efc6e",1.0227712812823,0.934737792674245,2,"UK","45-54",0,"quintile 1",0,1,1,"51–75 m²",0,1,0,0,1,0,1,1,1,0,3.45
"14b137e0-4151-11ec-87a3-97bc3f2da6c9",1.07960723338518,1.08250499866465,3,"FR","35-44",0,"quintile 2",1,0,0,"76–100 m²",0,0,0,0,0,0,0,1,1,0,4.17
"0e7dd080-5d8d-11ec-991e-b39f5cbbb292",1.11114676607247,1.03400394176371,2,"UK","35-44",0,"quintile 3",1,1,1,"151–200 m²",0,1,1,0,1,1,0,0,1,1,3.45
"1ed42a80-4152-11ec-bd64-f76acb460071",1.13767419663669,1.15226070322381,3,"FR","45-54",0,"quintile 2",1,0,0,"151–200 m²",0,0,0,0,0,0,1,0,0,0,4.17
"086b32b0-4153-11ec-9cc0-d984596ed37d",1.01344342530236,0.947125856033316,3,"FR","25-34",1,"quintile 4",1,1,1,"151–200 m²",0,1,0,0,1,1,1,1,0,0,4.17
