"ID","weight","weight_2","Country","REGION_UK","REGION_SE3","REGION_US2","REGION_NL2","REGION_CH","REGION_FR2","REGION_CA","REGION_BE","REGION_IL","Gender","Age_cat","Income","order_parts","S20","S5","S18","S19_1","S19_1_1","S19_2","S9_US","S9_UK","S9_FR","S9_SE","S9_CH","S9_NL","S9_CA","S9_BE","S9_IL","S10","B23_1","B31_1","B31_3","B31_5","B31_6","B31_7","B31_8","C34_1_2","C34_1_3","C34_1_4","C34_1_5","C34_1_6","C34_1_7","C34_1_89","C34_1_888888","C34_2_2","C34_2_3","C34_2_4","C34_2_5","C34_2_6","C34_2_7","C34_2_89","C34_2_888888","C35_1","C35_2","C35_3","C35_89","C35_888888","C37_1","C37_2","C37_3","C37_4","C37_5","C37_6","C37_8","C44_1","C44_2","C44_3","C44_4","C44_6","C44_9","C45_1","C45_3","C45_4","C45_6","C45_9","C46_1","C46_2","C46_3","C46_5","C46_6","C46_9","C47_1","C47_2","C47_4","C47_6","C49_1","C49_2","C49_3","C50"
"097d3430-574c-11ec-abf9-4383cd3f4136",0.915924574122324,0.875442239865601,1,NA,NA,9,NA,NA,NA,NA,NA,NA,2,5,1,"A,C,B,F",2,1,3,NA,6,1,11,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,4,4,4,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,1,1,99,2,1,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,3,5,5,4,5,4,5,5,1
"e7ba14a0-574a-11ec-bccc-1f2f35d20a33",0.94907939682381,0.904650135440557,1,NA,NA,8,NA,NA,NA,NA,NA,NA,2,5,1,"A,B,C,E",2,2,1,NA,3,1,8,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,5,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,NA,NA,NA,NA,NA,4,NA,4,4,4,4,5,5,5,5,5,4,5,1
"973100f0-414f-11ec-8d93-9758c6926d61",1.01527355117381,1.01693355836632,4,NA,NA,NA,3,NA,NA,NA,NA,NA,1,5,1,"A,C,E,B",1,1,4,4,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,4,5,3,4,4,3,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,4,NA,NA,NA,NA,NA,2,1,2,1,2,2,NA,NA,2,NA,NA,3,NA,2,3,5,3,5,4,4,4,4,4,4,1
"ef3938f0-414e-11ec-9011-33be032d3006",0.938775915316135,0.892678107863399,9,NA,NA,NA,NA,NA,NA,NA,2,NA,2,5,5,"A,C,D,B",3,1,3,7,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,3,1,1,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,888888,NA,NA,NA,NA,NA,2,2,1,2,1,2,NA,1,NA,1,NA,6,5,NA,5,NA,5,1,888888,1,1,1,1,1,2
"26f004d0-574b-11ec-85e8-dbc2facf2da6",1.02102800403349,1.37396709711272,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,5,5,"A,F,C,B",2,2,2,NA,3,1,8,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,5,4,2,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,4,4,4,3,888888,4,4,4,4,5,1
"52e43a90-574b-11ec-9fcc-9500decf5f97",1.02102800403349,0.905710088104831,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,5,3,"A,E,C,B",89,1,3,NA,7,1,6,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,1,1,5,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,5,5,3,3,3,3,2,3,2,2
"02392010-574b-11ec-8a86-5b26ce24a07e",1.02102800403349,0.905710088104831,1,NA,NA,5,NA,NA,NA,NA,NA,NA,1,5,3,"A,E,C,B",3,1,3,NA,6,1,11,NA,NA,NA,NA,NA,NA,NA,NA,4,1,5,2,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,5,4,4,4,5,4,3,2,1,2
"7907d840-574b-11ec-a4d8-c749d474f60e",0.875434299847098,0.807652828609233,1,NA,NA,5,NA,NA,NA,NA,NA,NA,2,5,2,"A,C,B,D",3,1,3,NA,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,4,4,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,NA,2,2,NA,2,3,3,NA,NA,3,NA,4,4,4,4,4,4,4,2
"0bb5d3a0-574c-11ec-a05f-058855bd33ce",0.875434299847098,0.807652828609233,1,NA,NA,5,NA,NA,NA,NA,NA,NA,2,5,2,"A,F,B,C",2,1,1,NA,5,1,11,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,1,NA,NA,1,1,4,NA,4,5,5,4,4,4,4,1
"46a29110-414f-11ec-a125-f18d148f8db8",0.969661444312246,0.914092929925447,4,NA,NA,NA,4,NA,NA,NA,NA,NA,1,5,5,"A,E,B,C",2,1,3,6,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,4,4,4,4,2,2,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,2,4,4,3,2,4,2,4,1
"36c723a0-414f-11ec-b06d-67d168d1e363",0.969661444312246,0.944008582495985,4,NA,NA,NA,4,NA,NA,NA,NA,NA,1,5,3,"A,F,B,C",1,1,4,4,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,4,5,2,4,4,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,8,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,3,3,3,4,5,5,4,4,4,4,1
"UN97aLfiWKIjRAJql7mqbabMd0q6P2l5CwS4RlcjWKyw0NKEuny0fslaPl0QxYSM",0.961870831541212,0.929326827080604,7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"A,C,F,B",1,1,2,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,89,7,4,5,2,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,2,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,5,4,3,4,4,4,2,3,1
"45270430-574b-11ec-88b6-478dade40274",0.885158518272883,0.984352791181455,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2,5,4,"A,C,D,B",2,1,3,NA,7,1,9,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,2,2,5,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,NA,NA,NA,NA,NA,1,NA,5,2,5,5,3,4,4,888888,5,2,5,3
"dc900c00-574a-11ec-bf0b-2590d38e0224",1.06898478584946,0.955160400599206,1,NA,NA,7,NA,NA,NA,NA,NA,NA,1,5,2,"A,E,C,B",2,1,3,NA,7,1,13,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,2,5,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,5,5,1,1,1,1,2,2,3,2
"a54be130-9afa-11ec-9648-d77012454e80",0.871856519136111,0.840998811905061,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,5,1,"A,C,B,F",2,1,2,NA,3,1,8,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,5,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,5,5,5,5,1
"eb0cebb0-574a-11ec-bbd5-e1bd3679b48a",0.928641593835989,0.898874047249407,1,NA,NA,6,NA,NA,NA,NA,NA,NA,2,5,1,"A,C,B,E",2,1,89,NA,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,5,4,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,2,4,4,4,4,5,4,4,4,4,3
"03dba7b0-574b-11ec-bc65-5f223bb2f173",0.94907939682381,0.904650135440557,1,NA,NA,8,NA,NA,NA,NA,NA,NA,2,5,1,"A,C,D,B",3,1,3,NA,6,1,9,NA,NA,NA,NA,NA,NA,NA,NA,1,5,2,5,3,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,2,2,NA,2,NA,NA,NA,NA,3,NA,4,3,5,2,4,4,5,3
"0755fcc0-574c-11ec-91e6-ff0d2948d504",0.875434299847098,0.807652828609233,1,NA,NA,5,NA,NA,NA,NA,NA,NA,2,5,2,"A,C,B,F",2,1,4,NA,6,1,9,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,5,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,3,3,4,1
"82865720-574b-11ec-beae-13645cbbaca1",0.875434299847098,0.801985952553572,1,NA,NA,5,NA,NA,NA,NA,NA,NA,2,5,3,"A,D,B,C",3,1,3,NA,5,1,8,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,1,5,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,888888,NA,NA,NA,888888,NA,NA,3,NA,3,NA,5,888888,5,5,1,1,4,2
