STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,SWE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,8.678151,,,,F,,6,,A,,0,,SEK,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,SWE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2022,,8.547603,,,,F,,6,,A,,0,,SEK,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,SWE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,8.813912,,,,F,,6,,A,,0,,SEK,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,SWE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,9.129505,,,,F,,6,,A,,0,,SEK,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,SWE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,9.24476,,,,F,,6,,A,,0,,SEK,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,USA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2023,,1,,,,F,,6,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,USA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2022,,1,,,,F,,6,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,USA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2021,,1,,,,F,,6,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,USA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,1,,,,F,,6,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,USA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,1,,,,F,,6,,A,,0,,USD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CAN,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,1.224257,,,,F,,6,,A,,0,,CAD,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,CHE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,1.268709,,,,F,,6,,A,,0,,CHF,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,FRA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,0.773773,,,,F,,6,,A,,0,,EUR,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,GBR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2020,,0.708913,,,,F,,6,,A,,0,,GBP,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,ISR,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,4.003563,,,,F,,6,,A,,0,,ILS,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,SWE,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2018,,9.580093,,,,F,,6,,A,,0,,SEK,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE4(1.0),,I,A,,USA,,S1,,S1,,PPP_P41,,F21,,_Z,,_Z,,XDC_USD,,_Z,,N,,T001,,2019,,1,,,,F,,6,,A,,0,,USD,
