STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,SECTOR,,EMISSIONS_SOURCE,,MEASURE,,PRICE_LEVEL,,UNIT_MEASURE,,STATISTICAL_OPERATION,,PRICE_BASE,,FREQ,,TIME_PERIOD,,OBS_VALUE,,CURRENCY,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,SUBSID,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,0,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,MPERPRI,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,25.454683,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,MPERPRI,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,17.549673,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,MPERPRI,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,7.0469694,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,FUETAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,22.131289,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,FUETAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,25.534281,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,CARBTAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,19.650406,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,CARBTAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,13.806657,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,CARBTAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,6.1552048,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,NETECR,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,60.493137,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,NETECR,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,53.487617,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,NETECR,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,38.736458,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,60.493137,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CAN,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,53.487617,,CAD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHE,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,147.26765,,CHF,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHE,,_T,,_T,,SUBSID,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,0,,CHF,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHE,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,145.46216,,CHF,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHE,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,140.02896,,CHF,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,ARG,,_T,,_T,,SUBSID,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,-446.33173,,ARS,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,AUS,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,31.517601,,AUD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,AUS,,_T,,_T,,FUETAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,23.31633,,AUD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,AUS,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,23.709768,,AUD,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHE,,_T,,_T,,FUETAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,106.79701,,CHF,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHE,,_T,,_T,,FUETAX,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,107.77131,,CHF,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,NETECR,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,26051.059,,CLP,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,MPERPRI,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,0,,CLP,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,NETECR,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,16787.457,,CLP,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,NETECR,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,20106.635,,CLP,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2023,,26547.143,,CLP,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2021,,17401.982,,CLP,,2023,,A,,0,,2,
DATAFLOW,OECD.CTP.TPS:DSD_NECR@DF_NECRS(1.0),,I,CHL,,_T,,_T,,ECRATE,,_Z,,XDC_TCO2E,,MEANW,,Q,,A,,2018,,20815.352,,CLP,,2023,,A,,0,,2,
